KEY,English,Russian
ttwSVConstructor,SV Constructor,Конструктор МС
mnuWorldSize,Planet Size:,Размер планеты:
AlienPlantReef2,Reef plant,Рифовое растение
AlienPlantReef1,Reef plant - Growing,Рифовое растение - рост
CoralBig01,Red Coral,Красный коралл
CoralBig01Harvested,Red Coral - Regenerating,Красный коралл - регенерация
AlienPlantPod2,Pod Plant,Стручковое растение
AlienPlantPod1,Pod Plant - Regenerating,Стручковое растение - регенерация
CoralBig08,White Coral,Белый коралл
CoralBig08Harvested,White Coral - Regenerating,Белый коралл - регенерация
AlienPlantThorn2,Thorn Plant,Торн
AlienPlantThorn1,Thorn Plant - Growing,Торн - рост
Cactus1,Beehive Cactus,Улейный кактус
Cactus1Harvested,Beehive Cactus - Growing,Улейный кактус - рост
AlienPlant07,Blue Alien Flower,Синий Чужецвет
AlienPlant07Harvested,Blue Alien Flower - Growing,Синий Чужецвет - рост
CattailWinter,Wild Grain,Дикое пшено
CattailWinterHarvested,Wild Grain - Growing,Дикое пшено - рост
Mushroom2,Green Spiky Mushroom,Зеленый Острогриб
Mushroom2Harvested,Green Spiky Mushroom - Growing,Зеленый Острогриб - рост
MushroomBellBrown01,Brown Mushroom,Коричневый гриб
MushroomBellBrown01Harvested,Brown Mushroom - Growing,Коричневый гриб - рост
MushroomTallGreen01,Tall Green Mushroom,Зеленый Длинногриб
MushroomTallGreen01Harvested,Tall Green Mushroom - Growing,Зеленый Длинногриб - рост
PulpitFungus,Pulpit Fungus,Пупырчатый гриб
PulpitFungusHarvested,Pulpit Fungus - Growing,Пупырчатый гриб - рост
BigFlower,Big Alien Flower,Большой Чужецвет
BigFlowerHarvested,Big Alien Flower - Growing,Большой Чужецвет - рост
SpaceDurian,Blue Pepper,Голубой перец
AlienPepperStage2,Blue Pepper - Growing 1,Голубой перец - рост 1
AlienPepperStage3,Blue Pepper - Growing 2,Голубой перец - рост 2
AlienPepperStage4,Blue Pepper - Growing 3,Голубой перец - рост 3
AlienPepperStage5,Blue Pepper - Harvestable,Голубой перец - созревший
AlienPepperStage5NoFruit,Blue Pepper - Pre-Harvest,Голубой перец- созревание
BulbShroomStage3,Large Eggplant - Harvestable,Большой баклажан - созревший
BulbShroomYoungStage1,Large Eggplant - Sprout,Большой баклажан - росток
BulbShroomYoungStage2,Large Eggplant - Growing,Большой баклажан - рост
BulbShroomYoungStage3,Large Eggplant - Pre-Harvest,Большой баклажан- созревание
ConfettiMoss,Confetti Moss,Конфетти мох
ConfettiMossHarvested,Confetti Moss - Regenerating,Конфетти мох - регенерация
ClusterShroomHarvested,Fire Moss - Regenerating,Огненный мох - регенерация
EggPlant,Eggplant,Баклажан
EggPlantHarvested,Eggplant - Growing,Баклажан - рост
DimpleDome,Dimple Dome,Купольный ямочник
DimpleDomeHarvested,Dimple Dome - Regenerating,Купольный ямочник - регенерация
DimpleDomeSnow,Dimple Dome,Купольный ямочник
DimpleDomeSnowHarvested,Dimple Dome - Regenerating,Купольный ямочник - регенерация
weBmFogRadiationGreen,Radiated Fog,Радиоактивный туман
weBmFogRadiationPurple,Radiated Fog,Радиоактивный туман
bmColdPlains,Cold Plains,Холодные равнины
bmDeepWater,Deep Water,Глубоководье
bmDunes,Dunes,Дюны
bmForest,Forest,Лес
bmGrassland,Grassland,Луга
bmGreetingsStranger,Greetings Stranger,Дружелюбный
bmHotspot,Hotspot,Горячие источники
bmLargeCrater,Large Crater,Большой кратер
bmLavaFolds,Lava Folds,Лавовая падь
bmLowMountains,Low Mountains,Низкогорье
bmMare,Mare,Степь
bmMareEdge,Mare Edge,Степной край
bmMarsh,Marsh,Болото
bmPlains,Plains,Равнины
bmPlainsEdge,Plains Edge,Равнинный край
bmPolarSnow,Polar Snow,Полярный снег
bmPole,Pole,Поле
bmRadiated,Radiated,Радиация
bmRadiatedFog,Radiated Fog,Радиоактивный туман
bmRayCrater,Ray Crater,Кратер
bmRegolith,Regolith,Реголит
bmRegolithEdge,Regolith Edge,Реголитный край
bmRifts,Rifts,Трещины
bmRocks,Rocks,Камни
bmSand,Sand,Песок
bmSavanna,Savanna,Саванна
bmSavannaEdge,Savanna Edge,Саванный край
bmShallowWater,Shallow Water,Мелководье
bmShore,Shore,Побережье
bmSmallCrater,Small Crater,Малый кратер
bmTundra,Tundra,Тундра
bmUnknown,Unknown,Неизвестно
bmBeach,Beach,Пляж
bmCraters,Craters,Кратеры
bmCrustedIce,Crusted Ice,Разломанный лед
bmCrystallizedRocks,Crystallized Rocks,Кристализированные камни
bmDeepForest,Deep Forest,Густой лес
bmFlats,Flats,Низины
bmGasFieldEdge,Gas Field Edge,Область газового месторождения
bmGlacier,Glacier,Ледник
bmGlacierSnow,Glacier Snow,Заснеженный ледник
bmHellmouth,Hellmouth,Вулканические горы
bmIceLens,Ice Lens,Ледяные линзы
bmIceSheet,Ice Sheet,Ледяное поле
bmIceShelf,Ice Shelf,Ледяной шельф
bmLavaEdge,Lava Edge,Лавовый край
bmLayeredIce,Layered Ice,Слоистый лед
bmMetalVeins,Metal Veins,Рудные жилы
bmOasisEdge,Oasis Edge,Оазисный край
bmStarterBiome,Starter Biome,Стартовый биом
bmTaiga,Taiga,Тайга
bmTaigaEdge,Taiga Edge,Таежный край
bmTaigaSnow,Taiga Snow,Снежная тайга
bmTaigaSnowEdge,Taiga Snow Edge,Заснеженный таежный край
bmWaterSwamp,Swamp Edge,Болотный край
bmCrashsite,Crash Site,Место аварии
AlienPlanet,Alien Planet,Чужая планета
TemperateStarter,Temperate,Умеренный
igmEffectRadiationSickness,You are suffering from a Radiation Sickness,Вы страдаете от лучевой болезни
bmLavaLake,Lava Lake,Лавовое озеро
bkiOreScanner,Will show underground ore rocks within a range of about 20-30m while handheld Drill is equipped.\n\nDoes not work with ore veins or when seated in a vessel.,"Показывает подземные месторождения в диапазоне около 20-30 м, пока в руках бур.\n\nНе работает с рудными жилами и находясь в судне."
bkiRadarSuitT1,Will show the global direction of a detected ore deposit or POI on the HUD radar map.\n\nDoes not work in space.,Покажет глобальное направление обнаруженного рудного месторождения или ТИ на карте радара HUD.\n\nНе работает в космосе.
bkiDrillT2,"Tool used for drilling holes into terrain and mining resources. Major upgrade from T1 drill: faster drilling, larger range and different drill modes available.","Инструмент используется для бурения грунта и добычи ресурсов. Основное улучшение бура К1: высокая скорость, увеличенная дальность и больше различных режимов работы."
mnuCameraShake,Camera Shake,Раскачивание камеры
mnuHoverLabelCameraShake,Enable/Disable Camera Shake in game.,Вкл/Выкл раскачивания камеры в игре
mnuAntialiasing,Antialiasing,Сглаживание
bhiAntialiasing,Set quality of Antialiasing,Установка режима Сглаживания
mnuAntialiasingHigh,High,Высокое
mnuAntialiasingLow,Low,Низкое
mnuAntialiasingMedium,Medium,Среднее
mnuAntialiasingOff,Off,Выкл
bhiShadows,Set shadow quality and distance.,Устанавливает качество и дальность теней.
bhiSSRR,"Enable/Disable Screen Space Reflections for all objects. Allows much more detailed reflections of all objects in the world. [c][ff0000]Be warned, enabling SSR has a strong performance impact.[-][/c]","Включает/выключает отражения в экранном пространстве для всех объектов. Обеспечивает более детальные отражения для всех объектов мира. [c][ff0000]Осторожно, это сильно влияет на производительность.[-][/c]"
rtbNoRepairTemplate,No repair template available,Нет доступных шаблонов ремонта
RadiationLevel,Radioactivity,Радиоактивность
mnuSSAOOff,Off,Выкл
mnuSSAOLow,Low,Низкая
mnuSSAOHigh,High,Высокая
inpPickUpModifier,SHIFT Modifier,SHIFT-модификатор
prgPlanets,PLANETS,ПЛАНЕТЫ
prgStructures,STRUCTURES,СТРОЕНИЯ
prgTerrain,TERRAIN,ПОВЕРХНОСТЬ
prgDecoration,DECORATION,ДЕКОРАЦИИ
bhiStartLocation,"For some scenarios, you can choose your start location. It will have an impact on the difficulty of the game (e.g. planet with/without oxygen, temperature, radiation, type of resources etc) and how the game starts (Escape Pod, Base).","Вы можете выбрать стартовую локацию. Это повлияет на сложность игры (например, планета с / без кислорода, температура, излучение, тип ресурсов и т.д.). И как начинается игра (Спасательная капсула, База)."
igmEffectReduceRadiation,Body Radiation level dropping.,Уровень радиационного заражения снижен.
igmEffectDecreaseBodyTemp,Body Temperature dropping!,Температура тела понизилась!
igmEffectIncreaseBodyTemp,Body Temperature rising!,Температура тела повысилась!
igmEffectHealFractureClosed,Closed Fracture cured.,Закрытый перелом вылечен.
rtbShowBounds,Show Repair Area,Показать Зону Ремонта
biwHeaderCrafting,CRAFTING,СОЗДАНИЕ
igmNoFireAsShipDocked,All weapon systems are deactivated while ship is docked,Все орудийные системы деактивированы пока судно пристыковано
mnuBlueprintProductionSpeed,Blueprint & Repair Speed:,Чертежи & Скорость ремонта:
bhiBlueprintProductionSpeed,Influences the overall production speed of the blueprint factory and the Repair Bays.,Влияет на общую скорость ремонта и производства на фабрике чертежей.
BigFlowerStage1,Big Alien Flower - Sprout,Большой Чужецвет - росток
BigFlowerStage2,Big Alien Flower - Growing,Большой Чужецвет - рост
BigFlowerStage3,Big Alien Flower - Harvestable,Большой Чужецвет - созрел
BigFlowerStage4,Big Alien Flower - Pre-Harvest,Большой Чужецвет - созревание
CoffeePlantStage1,Coffee Plant - Sprout,Кофейный куст - росток
CoffeePlantStage2,Coffee Plant - Growing,Кофейный куст - рост
CoffeePlantStage3,Coffee Plant - Harvestable,Кофейный куст - созрел
CoffeePlantStage4,Coffee Plant - Pre-Harvest,Кофейный куст - созревание
HeavyWindowBlocks,Heavy Windows,Тяжелые окна
HeavyWindowA,Window A,Окно A
HeavyWindowB,Window B,Окно B
HeavyWindowC,Window C,Окно C
HeavyWindowD,Window D,Окно D
HeavyWindowE,Window E,Окно E
HeavyWindowF,Window F,Окно F
HeavyWindowAInv,Window A inverted,Окно A инверсное
HeavyWindowBInv,Window B inverted,Окно B инверсное
HeavyWindowCInv,Window C inverted,Окно C инверсное
HeavyWindowDInv,Window D inverted,Окно D инверсное
HeavyWindowEInv,Window E inverted,Окно E инверсное
HeavyWindowFInv,Window F inverted,Окно F инверсное
CropYield,Crop Yield,Урожайность
bkiNightVision,Can be activated by the same key that is also used for player light (toggles between player light and night vision).\n\nItem has to be in inventory and you have to wear your helmet.,Используется только ночью. Включается кнопкой фонарика (переключается между освещение и ночным зрением).\n\nДля использования должны быть в инвентаре и у вас должен быть надет шлем.
rgwTooFarAccess,Out of range. Please get closer in order to access.,Слишком далеко. Подойдите ближе для взаимодействия.
SurvivalTent,Survival Tents,Палатка
ReloadDelay,Reload Time,Время перезарядки
MaxRange,Max. Range,Макс. Дальность
EffectiveRange,Current Range,Текущая дальность
bmDustBowl,Dust Bowl,Пылевая чаша
bmWadi,Wadi,Каналы
bmPlantation,Plantation,Плантации
bmNest,Nest,Гнездо
bmSandDrift,Sand Drift,Плывун
bmFlowers,Flowers,Лужайки
bmFlowersEdge,Flowers Edge,Цветочный край
utsFeet,ft,фт
utsMiles,mi,ми
mnuDistanceFormat,Measurement System,Измерительная система
mnuHoverLabelDistanceFormat,This determines if distances are shown in metric or imperial,"Это определяет, показаны ли расстояния в метрической или имперской системе"
mnuImperial,Imperial,Имперская
mnuMetric,Metric,Метрическая
ExplosiveBlocks,Explosive Blocks (Self),Взрывные блоки (себя)
ExplosiveBlocks2,Explosive Blocks (Radius),Взрывные блоки (область)
Runestone,Statue,Статуя
StoneBarbarian,Statue,Статуя
CelticCross,Statue,Статуя
DemonHead,Statue,Статуя
DemonicStatue,Statue,Статуя
GothicFountain,Statue,Статуя
GreekHead,Statue,Статуя
MayanStatueSnake,Statue,Статуя
SnakeStatue,Statue,Статуя
StatueSkull,Statue,Статуя
TigerStatue,Statue,Статуя
AncientStatue,Statue,Статуя
DemonicStatueSmall,Statue,Статуя
MayanStatueSnakeSmall,Statue,Статуя
SnakeStatueSmall,Statue,Статуя
TigerStatueSmall,Statue,Статуя
bkiSourceMaterial,Source material required for crafting basic materials and intermediate products. See templates for exact use.,"Исходный материал, необходимый для изготовления базовых материалов и промежуточных продуктов. См. Шаблоны для точного использования."
bkiDetectorT1Planet,Will show the global direction of a detected ore deposit or POI on the HUD radar map.\n\nDoes not work in space.,Покажет глобальное направление обнаруженного рудного месторождения или ТИ на радаре.\n\nНе работает в космосе.
bkiArmorBoost,"Armor boosts offer specific enhancements, but also have downsides! You need an Armor Locker to equip and remove armor boosts! Undressing a suit with boosters equipped will keep the boosters added in your suit!","Усилители брони предлагают специальные улучшения, но они имеют свои недостатки! Вам необходим Шкафчик Брони для установки и снятия усилителей! Все усилители сохраняются в вашей броне даже при её снятии!"
bkiBioFuel,Can be used as an alternative fuel with any fuel tank. Also used as fuel for chainsaw.,Можно использовать как альтернативное топливо в любом топливном баке. Так же используется для заправки бензопилы.
bkiEnergyCell,"Primary fuel source, based on promethium.","Основной источник топлива, основанный на прометиуме."
bkiFusionCell,"High energy fuel source, based on promethium and hydrogen","Высокоэнергитический источник топлива, основанный на прометиуме и водороде."
bkiOxygenTank,Required for use with ventilators to oxygenize airtight rooms. Required for oxygen station to manually fill up suit oxygen,Требуется для использования вентиляторов для оксигинации комнат. Требуется для кислородных станций для ручной заправки костюма кислородом.
bkiLightPlant,Required for growing plants. Max illumination area: 3x3 blocks with the light in the center. Requires 2 blocks free space between growing plot and ceiling.,Необходимо для выращивания растений. Максимальная дальность освещения от центра: 3x3 блока. Требует 2 блока свободного пространства над грядкой и растением.
bkiOxygenGeneratorSmall,Extracts oxygen and water from the atmosphere to generate small oxygen and water bottles.,Выделяет кислород и воду из атмосферы и производит малые кислородные баллоны и бутылки с водой.
bkiMobileAirCon,Will warm you up or cool you down if you are close enough to the device. Can only change temperature up to a maximum limit!,"Согреет вас или охладит, если вы достаточно близко к устройству. Может изменять температуру только до максимального предела!"
bkiAutoMiner,"Device used for mining ore when placed on a resource deposit. To craft this device, its main component (Autominer Core) might already be added to your starting equipment of your escape pod (Depends on scenario) and can also be found in loot boxes of POIs and alien Vessels.","Устройство, используемое для добычи руды при размещении на месторождении ресурсов. Для того, чтобы изготовить это устройство, его основной компонент (Ядро Экстрактора) можно найти в стартовом снаряжении вашей спасательной капсулы (в сценариях) или в ящиках объектов ТИ или Судов Чужих."
bkiRepairBay,Can only repair damaged blocks. Can be upgraded to Repair Bay T2. Requires a Repair Console to work.,Может восстанавливать только поврежденные блоки. Может быть обновлено до Ремонтный отсек К2. Требуется ремонтная консоль для работы.
bkiRepairBayT2,Can repair damaged blocks and replace lost blocks (Repair 2 Template). Requires a Repair Console to work.,Может восстанавливать поврежденные блоки и заменять потерянные блоки (Ремонт по шаблону). Требуется ремонтная консоль для работы.
bkiRepairBayConsole,Access Console for using either Repair Blocks or Repair 2 Template with any Repair Bay model.,Ремонтная консоль для использования шаблонов Ремонта Блоков или Ремонт по шаблону с любой моделью Ремонтного отсека.
bkiRepairStation,"Allows to partially restore durability of worn down tools, weapons and suits. Either of the aforementioned can also only be repaired up to a maximum amount of times.","Позволяет частично восстановить долговечность изношенных инструментов, оружия и костюмов. Любой из вышеперечисленных может также быть восстановлен только до максимального количества раз."
bkiArmorLocker,"Required for dressing and undressing Suits, as well as for adding or removing Boosters. Suits can also be stored.","Требуется для одевания и снятия костюмов, а также для добавления или удаления Усилителей. Может хранить костюмы."
bkiFurnace,The furnace allows to smelt ores much faster and automized than constructors,"Печь позволяет плавить руды намного быстрее и более автоматизированно, чем конструкторы"
bkiTradingStation,The Trading Station allows to trade with other players in Multiplayer,Торговая станция позволяет торговать с другими игроками в Мультиплеере
bkiATM,Use to transfer your money or gold coins to your bank account or retrieve money cards from there.,Используйте для перевода своих денег или золотых монет на свой банковский счет или получения денежных карт оттуда.
bkiLandClaimDevice,"Used in Multiplayer to activate Anti Grief Zones around your base (Depends on the server setup!).\nIMPORTANT: You need to place this device to make the Offline Protection device fully operational!


","Используется в мультиплеере для активации АнтиГрифЗоны вокруг вашей базы (зависит от настройки сервера!)\nВАЖНО: Вам необходимо разместить это устройство, чтобы функция Оффлайн Защиты была полностью работоспособно!"
bkiHarvester,Requires Harvest Box (wood and ore) to automatically pick up harvested wood.,"Требуется Сборочный контейнер (древесина и руда), чтобы автоматически собирать заготовленную древесину."
bkiChainsaw,Used to chop wood. Can also be used for a close combat weapon.,Используется для добычи древесины. Может также использоваться для оружия ближнего боя.
Terrain,Terrain,Ландшафт
CropType,Crop Type,Тип семян
utsMinutes,min,мин
GrowthTimeInfo,Growth Time,Время созревания
RockResourceIron,Iron bearing,Содержит железо
RockResourceCobalt,Cobalt bearing,Содержит кобальт
RockResourceCopper,Copper bearing,Содержит медь
RockResourceSilicon,Silicon bearing,Содержит кремний
RockResourceMagnesium,Magnesium bearing,Содержит магний
RockResourceNeodymium,Neodymium bearing,Содержит неодим
RockResourceGold,Gold bearing,Содержит золото
RockResourceErestrum,Erestrum bearing,Содержит эреструм
RockResourceSathium,Sathium bearing,Содержит сатиум
RockResourceZascosium,Zascosium bearing,Содержит заскозий
RockResourcePromethium,Promethium bearing,Содержит прометий
DurianRoot,Blue Pepper Sprout,Росток Синего перца
cpgSpotlight,Spotlight,Освещение
cplApplyToGroup,Apply to Group,Добавить в группу
RespiratorCharge,Emergency O2,Аварийный O2
bkiRespiratorCharge,Emergency O2 is created from purified water by your suits build-in survival constructor.,Аварийный O2 извлекается из выдыхаемого воздуха и пота при помощи конструктора встроенного в ваш костюм.
Automatic,Automatic,Автоматизация
titleDeconstructor,Deconstructor,Деконструктор
titleDeconstructorSetup,Deconstructor Setup,Установки Деконструктора
lblDeconstructorSetupText,Put items to be deconstructed into INPUT\nHint: Put multiple identical items in one slot to minimize loss of deconstruction fractions,"Поместите предметы, подлежащие деконструированию, во ВХОД\nСовет: Положите несколько одинаковых предметов в один слот чтобы минимизировать потери фрагментов при деконструкции"
msgDeconstructorItemNotOk,Item cannot be deconstructed any further,Предмет не может быть дальше деконструирован
msgDeconstructorItemCountNotOk,Required minimum amount to start deconstruction: {0},Минимальное количество для начала деконструкции: {0}
igmUseDeconstructor,Press '{0}' to use the Deconstructor,Нажмите '{0}' для использования Деконструктора
OxygenGeneratorSmall,Water / O2 Condenser,Конденсор Воды / Кислорода
igmFiringBlocked,Weapon malfunction: firing direction is blocked,Неисправность оружия: направление стрельбы заблокировано
cplTargetTroops,"NPC, Drones, Players","НИП, Дроны, Игроки"
cplTargetHV,Hover Vessels,Парящие суда
cplTargetSV,Small Vessels,Малые суда
cplTargetCV,Capital Vessels,Большие суда
cplTargetBA,Bases,Базы
guiCraftTime,Craft Time,Время создания
igmEntityAccess,Press '{0}' to access {1}\nPress '{2}' to take all,Нажмите '{0}' для доступа к {1}\nНажмите '{2}' чтобы забрать всё
igmEntityAccessDead,Press '{0}' to access {1} (will be removed in {2})\nPress '{3}' to take all,Нажмите '{0}' для доступа к {1}\n(исчезнет через {2})Нажмите '{3}' чтобы забрать всё
cplOtherFactions,Player Factions,Фракции игроков
cplTurretNoTargetInfo,"Targeting Selection\n1. Select Prey, Predator or a Faction\n2. Select a targeting-group type\n3. Select a device (only for HV/SV/CV/BA)","Целеуказание\n1. Выберите Добыча, Охотники или Фракции\n2. Выберите тип группы целей\n3. Выберите устройство (только для БС/МС/ПС/БА)"
igmHarvestNoBox,Harvest Box missing. Incoming materials will be ejected!,Сборочный контейнер отсутствует. Входящие материалы будут выбрасываться!
igmHarvestBoxExceeded,No free storage capacity. Incoming materials will be ejected,Сборочный контейнер заполнен. Входящие материалы будут выбрасываться
igmFiringPutAmmoIntoGun,Ammo missing! Please load {1} into {0},Боеприпасы закончились! Пожалуйста зарядите {1} в {0}
igmFiringNoAmmoBox,No ammo box! {0} needs an ammo box loaded with {1} to work,Боекомплект пуст! {0} требует загрузить в боекомплект {1} для работы
igmFiringPutAmmoIntoBox,Ammo missing! To fire {0} please fill {1} into the ammo box,Боеприпасы закончились! Для стрельбы {0} требуется разместить {1} в боекомплекте
rtbPlayerStillWithinShip,Repair area blocked. Player inside the repair area or inside the vessel,Зона ремонта блокирована. Игрок находится в зоне ремонта или внутри судна
Pangolin,Pangolin,Ящер
ModularWingBlocks,Modular Wings,Модуль крыльев
ModularWingTaperedL,Tapered (Large),Трапецевидные (большие)
ModularWingTaperedM,Tapered (Medium),Трапецевидные (средние)
ModularWingTaperedS,Tapered (Small),Трапецевидные (малые)
ModularWingStraightL,Straight (Large),Прямые (большие)
ModularWingStraightM,Straight (Medium),Прямые (средние)
ModularWingStraightS,Straight (Small),Прямые (малые)
ModularWingDeltaL,Delta (Large),Дельтавидные (большие)
ModularWingDeltaM,Delta (Medium),Дельтавидные (средние)
ModularWingDeltaS,Delta (Small),Дельтавидные (малые)
ModularWingSweptL,Swept (Large),Ромбовидные (большие)
ModularWingSweptM,Swept (Medium),Ромбовидные (средние)
ModularWingSweptS,Swept (Small),Ромбовидные (малые)
ModularWingLongL,Tapered Long (Large),Широкие трапецевидные (большие)
ModularWingLongM,Tapered Long (Medium),Широкие трапецевидные (средние)
ModularWingLongS,Tapered Long (Small),Широкие трапецевидные (малые)
ModularWingAngledTaperedL,Angled Tapered (Large),Угловые трапецевидные (большие)
ModularWingAngledTaperedM,Angled Tapered (Medium),Угловые трапецевидные (средние)
ModularWingAngledTaperedS,Angled Tapered (Small),Угловые трапецевидные (малые)
ModularWingTConnectorL,Connector (Large),Соединение (большое)
ModularWingTConnectorM,Connector (Medium),Соединение (среднее)
bpwTitleProduction,Production,Продукция
ModularWingPylon,Mount,Пилон
igmSuitConstrOnlyUsesInventory,Please note: The Survival Constructor can only use items from the INVENTORY (but not from the Toolbar),Будьте внимательны: Встроенный конструктор может использовать предметы только из инвентаря (панель инструментов для него не доступна)
BlastRadius,Explosion Radius,Радиус взрыва
BlastDamage,Explosion Damage,Сила взрыва
bkiAmmoExplosive,Explosive ammunition. Please refer to the corresponding weapon for more information.,Разрывные боеприпасы. Для получения дополнительной информации обратитесь к соответствующему оружию.
HeavyWindowG,Window G,Окно G
HeavyWindowGInv,Window G inverted,Окно G инверсное
HeavyWindowH,Window H,Окно H
HeavyWindowHInv,Window H inverted,Окно H инверсное
HeavyWindowI,Window I,Окно I
HeavyWindowIInv,Window I inverted,Окно I инверсное
HeavyWindowJ,Window J,Окно J
HeavyWindowJInv,Window J inverted,Окно J инверсное
bmHighMountains,High Mountains,Высокогорье
bmBiofilm,Biofilm,Биопленка
bmSediment,Sediment,Осадочная порода
bmMoss,Moss,Мшистая местность
cplBlinkFrequency,Blink Frequency,Частота мерцания
cplBlinkLength,Blink Length,Время мерцания
cplBlinkDelay,Blink Delay,Задержка мерцания
cplSpot,Spotlight Mode,Режим освещения
cplSpotAngle,Adjust Spot Angle,Настройка угла освещения
tipInsideTemperature,"When you are inside a base or vessel, this value indicates the temperature outside.","Когда вы находитесь внутри базы или судна, это значение указывает температуру снаружи."
tipSuitTemperature,Temperature in your suit. Too low or high in-suit temperatures will influence your well being.,Температура в вашем костюме. Слишком низкие или высокие температуры могут повлиять на ваше здоровье.
tipTemperature,"Temperature at your current position. Will affect your In-suit temperature, depending on its insulation.","Температура в вашем текущем положении. Повлияет на температуру внутри костюма, в зависимости от его изоляции."
tipRadiation,"Radioactivity at your current position. Will affect your in-suit contamination, depending on its protection level.",Радиоактивность в текущей позиции. Будет влиять на ваше загрязнение в зависимости от уровня защиты костюма.
tipSuitRadiation,Radioactivity in your suit. Shows the contamination level which will influence your well being.,"Радиоактивность в вашем костюме. Показывает уровень загрязнения, который будет влиять на ваше самочувствие."
tipOutsideRadiation,"When you are inside a base or vessel, this value indicates the radioactivity outside.","Когда вы находитесь внутри базы или судна, это значение указывает на радиоактивность снаружи."
tipWeatherInfo,Current weather. Currently it has no effect other than temperature rise and drops.,"Текущая погода. В настоящее время нет никакого эффекта, кроме повышения температуры и падения."
tipBiomeInfo,The biome you are currently in.,"Биом, в котором вы сейчас находитесь."
tipTimeToDuskDawn,Time left until dusk or until dawn. The sun-down and sun-up icons will show which is to be expected.,"Время до заката или до рассвета. Значки заката и рассвета покажут, чего ожидать."
tipHealthBar,"Health bar will drop when affected by malicious status effects, by missing O2, when your repletion status is too low or when injured.","Уровень здоровья падает при воздействии вредоносных эффектов, нехватки O2, низком уровне сытости или когда вы получили ранение."
tipFoodBar,Shows your current repletion. Different activities and different suits will diminish the bar in slower or faster speed.,Показывает текущую сытость. Различные действия и различные костюмы уменьшают это значение медленнее или быстрее.
tipStaminaBar,Used for sprinting. Will replenish fast when standing still. Will use up food at an increased rate while refilling.,Используется для спринта. Ускоренное восполнение если стоите на месте. Будет использовать сытость с увеличенной скоростью для пополнения.
tipOxygenBar,Suit oxygen content. Different activities will diminish the bar slower or faster,Уровень кислорода в костюме. Различные действия уменьшают значение медленнее или быстрее
bkiHoverengine,Maintains HV in air.\nPlace several engines and mind weight distribution to ensure the HV is well balanced.,"Поднимает ПС в воздух.\nРазместите достаточно двигателей, чтобы ваше ПС сохраняло равновесие."
seTimeRemainMsg,{0}m {1}s,{0}мин {1}сек
seBuffRadImmunity,You now have temporary immunity from radiation!,Теперь у вас есть временный иммунитет от радиации!
igmEffectAdrenalineBoost,You are feeling extremely energetic!,Вы чувствуете себя чрезвычайно энергично!
igmEffectAdrenalineCrash,You are feeling extremely fatigued!,Вы очень устали!
igmEffectWellFed,You feel very comfortable and satisfied.,Вы чувствуете себя очень комфортно и удовлетворенно.
seNoTimeLimit,No time limit,Без ограничения по времени
TurretMSMinigunRetract,Minigun Turret (retractable),Пулеметная турель (выдвижная)
TurretMSCannonRetract,Cannon Turret (retractable),Пушечная турель (выдвижная)
TurretMSRocketRetract,Rocket Turret (retractable),Ракетная турель (выдвижная)
TurretMSFlakRetract,Flak Turret (retractable),Зенитная турель (выдвижная)
TurretMSPulseLaserRetract,Pulse Laser Turret (retractable),Импульсная лазерная турель (выдвижная)
TurretMSPlasmaRetract,Plasma Turret (retractable),Плазменная турель (выдвижная)
TurretMSArtilleryRetract,Artillery Turret (retractable),Артиллерийская турель (выдвижная)
TurretMSDrillRetract,Drill Turret (retractable),Буровая турель (выдвижная)
TurretMSToolRetract,Multi Turret (retractable),Мульти турель (выдвижная)
HullCombatSmallBlocks,Combat Steel Blocks S,Блоки оружейной стали М
HullCombatFullSmall,Combat Steel Block S,Блок оружейной стали М
HullCombatThinSmall,Combat Steel Block S (thin),Блок оружейной стали М (тонкий)
ContainerSpecialEvent,Special Events Container,Особый праздничный контейнер
TurretMSProjectileBlocks,Projectile Turrets,Метательные турели
TurretMSRocketBlocks,Rocket Turrets,Ракетные турели
TurretMSLaserBlocks,Laser Turrets,Лазерные турели
TurretMSToolBlocks,Tool Turrets,Рабочие турели
TurretMSArtilleryBlocks,Artillery Turrets,Артиллерийские турели
tipTemperatureWarning,Temperature Warning is lighting up when the temperature at your current position is exceeding the cold or heat protection of your suit.,"Предупреждение о температуре загорается, когда температура в вашем текущем положении превышает защиту вашего костюма от холода или тепла."
tipRadiationWarning,Radiation Warning is lighting up when the radiation at your current position is exceeding the radiation protection level of your suit.,"Предупреждение о радиации загорается, когда излучение в вашем текущем положении превышает уровень радиационной защиты вашего костюма."
NeutralBodyTemp,Restore Normal Temperature,Нормальная температура восстановлена
WellFed,Well Fed,Полностью сытый
bkiRadiationImmunity,Radiation protection during 120 seconds. use LMB from the toolbar or from Inventory with Shift+RMB.,Радиационная защита в течение 120 секунд. Используйте с ЛКМ с панели инструментов или из инвентаря с Shift+ПКМ.
RadiationImmunityShot,Radiation Immunity Shot,Доза радиационного иммунитета
EnergyInIdle,Energy In (Idle),Вход энергии (в простое)
IsRetractable,Retractable,Выдвижное
bkiTurretRetract,Turret retracts when set to OFF. Retracted turrets have a higher armor value.\nRange given for space. On planets range is lower and depends on atmosphere density,"Турель убирается, когда установлено значение ВЫКЛ. Убранные башни имеют более высокое значение брони.\nДальность приведена для космоса. На планетах дальность ниже и зависит от плотности атмосферы."
