KEY,English,Deutsch
chpdescBuildingVessel,"The third chapter will teach you some basics on how to build a vessel.\n\nBuilding Hover Vessels (HV), Small Vessels (SV) or Capital Vessel (CV) is based on the same steps and necessities.\n\nTo build a fully working vessel, you need to add at least one of each of the following blocks: Cockpit, RCS, fuel tank, generator and thrusters (minimum 4 for HV, minimum 6 for SV and CV).\n\nThe differences between vehicles is defined by the blocks that are available for each of the vessel types, each vehicle type has blocks unique to it.\n\n[u]Tip:[/u]\nSit in the Cockpit and open the Control Panel (P). Use the button 'Statistics' on the bottom right area of the panel to gain more detail info about your vessel!\n\n[u]How to use[/u]\nEach sub-chapter contains a number of main- and sub-tasks to follow as well as valuable background infos and [u]Tips[/u] at the end of each task-page.\n\nFor more details please refer to the PDA Knowledgebase! \n\n[b]You can always activate and deactivate each chapter manually![/b]","Das dritte Mission vermittelt dir die Grundlagen zum Bau von Fahrzeugen, kleinen und großen Raumschiffen.\n\nDie Konstruktion von Bodengleitern (BG) sowie von Kleinen Raumschiffen (KR) und Großen Raumschiffen (GR) folgt immer den gleichen Prinzipien und Schritten.\n\nUm ein voll funktionsfähiges Vehikel zu bauen, benötigst du jeweils einen der folgenden Blöcke: Cockpit, RCS, Kraftstofftank, Generator sowie je nach Vehikelklasse eine unterschiedliche Anzahl an Triebwerken (mindestens 4 für BG, mindestens 6 für KR und GR).\n\nDie einzigen Unterschiede zwischen den Klassen sind die Geräte und Blöcke die jeweils verfügbar sind.\n\n[u]Tipp:[/u]\nSetze dich in das Cockpit und öffne das Control Panel (P). Klicke auf den 'Statistiken' Button unten rechts um mehr Details über dein Vehikel aufzurufen!\n\nJedes Mission enthält eine Reihe von Haupt- und Nebenaufgaben die du erfüllen musst. Am Ende jeder Aufgabe findest du [u]Tipps[/u], die dir weiterhelfen können.\n\nWeitere Informationen findest du in der PDA Wissensdatenbank!\n\n[b]Du kannst jedes Mission jederzeit von Hand  aktivieren und deaktivieren[/b]"
tasktitlePlaceVesselStart,"Place Starter Block","Starter Block setzen"
acttitlePlaceAStarterBlock,"Place a Starter Block","Starter Block setzen"
actdescPlaceAStarterBlock,"For building any vessel, you need to craft its starter block at first. Open your constructor and select the starter block for the vessel you want to create. Having successfully built your starter block, select it from your toolbar and place it in front of you.\n\nThe design is open to you, but there are some basics you need to take into account.\n\n[b]Engineering notes:[/b]\n- HV and SV starter blocks are showing blue marked blocks: The blue line marks the backside, whereas the single blue block is pointing in the flight direction! Add your cockpit facing in this direction!\n- For a Hover Vessel you need to add Hover Engines in addition. You can rise and lower the flight height of your HV with C and Space between 0 and 3 meters.\n- If your HV gets heavier, you might want to add more Hover Engines as they work as the vessels suspension (compensating uneven ground). If you do not, you might hit the ground and damage your vessel!\n- Hover Engines do NOT influence the maximum hover height of 3 meter but only the driving stability!\n- CV starter blocks come equipped with a cockpit to show you the flight direction and where UP is located! Do not mess this up while building your vessel, as those directions can not be changed afterwards!\n\n[b]Important:[/b]\n- Each vessel type demands its own blocks. Although some blocks are interchangeable, this does not mean you can use normal thrusters of a CV on a SV!\n- Each device will show you its compatibility to any of the vessel types in the mouse-over info panel on the right side of your screen (Hover over the item in either the techtree, your inventory or any constructor)\n- You can not place a HV starter block in space, but you can build all vessels on any planet!\n- If you are missing a device from your constructor, have a look at the techtree if the device is already unlocked!\n- You can NOT use Wood or Concrete to build any vessel!","Um die Konstruktion eines Vehikels zu beginnen, musst du zunächst den jeweiligen Starter-Block bauen. Öffne deinen Konstruktor und wähle im Reiter BAUBLÖCKE den Starter-Block für dasjenige Vehikel aus, welches du bauen möchtest. Lege den fertigen Starter-Block in einen freien  Platz in deiner Toolbar, wähle ihn aus und legen ihn vor dir auf den Boden.\n\nDas weitere Design liegt ab hier völlig in deinen Händen. In dieser Übungseinheit besprechen wir daher nur die Grundlagen.\n\n[b]Konstruktionshinweise:[/b]\n- Die Starter-Blöcke für BG und KR verfügen über markierte Elemente: Die blaue Block-Linie markiert die Rückseite. Der blaue einzelne Block markiert die Flugrichtung. Setze dein Cockpit IMMER in Flugrichtung!\n- Für einen Bodengleiter benötigst du mehrere Schwebesysteme! Du kannst die Flughöhe mit den Tasten C  und LEERTASTE zwischen 0 und maximal 3 Meter ändern.\n- Wenn dein BG etwas schwerer ausfällt, solltest du weitere Schwebesysteme hinzufügen. Diese funktionieren als Federung und gleichen Unebenheiten im Boden während des Fluges aus. Mit zuwenig Federung kann es passieren, dass du über den Boden schrammst und dein Vehikel beschädigst!\n- Die Anzahl der Schwebesysteme beeinflusst NICHT die maximale Flughöhe von 3 Metern sondern nur die Lagestabilität!\n- Die Starter-Blöcke für GR verfügen über ein vorinstalliertes Cockpit. Dies zeigt dir gleichzeitig an, wo OBEN und wo VORNE ist. Diese Orientierung solltest du immer beibehalten, da dies nachträglich nicht mehr geändert werden kann!\n\n[b]Wichtig:[/b]\n- Jeder Vehikel-Typ benötigt eigene Blöcke. Manche Geräte und Konstruktionsblöcke können zwar für mehrere Vehikelklassen benutzt werden, aber du  kannst z.B. nicht den großen Antrieb für ein GR auf einem BG verwenden.\n- Das Info-Detail Fenster, welches sich öffnet, wenn du mit dem Mauszeiger über einen Block oder ein Gerät fährst, zeigt dir genau an, für welche Vehikel-Klassen der Gegenstand verwendbar ist.\n- Du kannst ein BG nicht im Weltraum bauen. Du kannst aber alle Vehikel auf allen Planeten bauen.\n- Wenn dir ein Gegenstand oder ein Gerät im Konstruktor fehlt, schaue im Technikbaum (F3), nach ob es auch freigeschalten ist!\n- Holz und Beton Konstruktionsblöcke können nicht für Vehikel benutzt werden."
tasktitleEssentialVBlocks,"Add Essential Vessel Blocks","Wichtige Blöcke für Vehikel"
acttitleAddVCockpit,"Add a Cockpit","Cockpit setzen"
actdescAddVCockpit,"Each vessel needs to have at least one cockpit. You can add more cockpits to any vessel. The one piloting the vessel will be decided by the first player entering any cockpit!","Jedes Vehikel benötigt mindestens ein Cockpit. Du kannst natürlich mehrere Cockpits einbauen. Je nachdem welches Cockpit du (oder ein Mitspieler) als erstes betrittst, übernimmt dieses die Steuerung."
acttitleAddVRCS,"Add a RCS","RCS einbauen"
actdescAddVRCS,"A RCS will add a certain amount of torque to your vessel, what means it will allow your vessel to roll or go in any other direction for any combination of up/down/left/right/forward/backward. Without a RCS, you are limited to the aforementioned orthogonal movement vectors.","Ein RCS fügt deinem Vehikel eine gewisse Menge an Drehmoment hinzu. Das bedeutet, ein RCS erlaubt dir z.B. eine Rolle oder eine andere kombinierte Richtungsbewegungen durchzuführen. Ohne RCS kannst du nur die sechs orthogonalen Richtungen für die Bewegung nutzen: auf, ab, rechts, links, forwärts, rückwärts. Mit RCS sind alle Kombinationen möglilch."
acttitleAddVGenerator,"Add a Generator","Generator einbauen"
actdescAddVGenerator,"Like with your base, your vessel needs to be powered. Add a generator in a well protected spot.","Wie auch bei einer Basis, benötigt jedes Vehikel einen Generator. Setze deinen Stromerzeuger in einen geschützten Bereich!"
acttitleAddVFuelTank,"Add a Fuel Tank","Kraftstofftank einbauen"
actdescAddVFuelTank,"Add one or more fuel tanks and fill them with fuel packs. You can activate or deactivate your vessel with Y while standing on it or when sitting in the cockpit!\n\n[b]Engineering notes[/b]\n- Adding more RCS to a vessel will add more torque to your vessel. Heavy vessels will need more or stronger RCS, but a huge CV will never turn on a dime.\n- Adding RCS has a limit to a point, where adding more RCS will add fewer and fewer bits of additional torque.\n- It does not matter WHERE in your ship the RCS is placed!\n- More Fuel Tanks will provide you with an expanded maximal flight time.\n- More generators will increase the power output and output reserves, but also burn your fuel faster.\n- When you notice your power output is running in 'red mode' when doing maneuvers having a lot of energy consumers active, you need to add more generators.","Ebenfalls wie bei einer Basis, benötigst du mindestens einen Kraftstofftank. Fülle ihn mit Kraftstoffzellen. Aktivieren kannst du dein Vehikel ebenfalls mit Y, egal ob du auf ihm stehst oder im Cockpit sitzt.\n\n[b]Konstruktionshinweise:[/b]\n- Mehr RCS fügen deinem Vehikel mehr Drehmoment hinzu. Schwerere Vehikel benötigen entsprechend mehr oder stärkere RCS für die gleiche Beweglichkeit. Trotzdem wird ein riesiges GR niemals auf der Stelle wenden können.\n- Die Effizienz der RCS nimmt mit steigender Anzahl ab. Ab einem gewissen Punkt wird der Beitrag zum Drehmoment pro neuem RCS fast vollständig aufgezehrt.\n- Es ist egal, WO im Vehikel der RCS steht.\n- Zusätzliche Kraftstofftanks steigern deine Reichweite und Flugzeit.\n- Zusätzliche Generatoren erhöhen die verfügbare Spitzenleistung deines Vehikels. Allerdings verbrauchen sie auch die Kraftstoffzellen schneller.\n- Wenn du bei Manövern bemerkst, dass deine Leistungsanzeige immer wieder ROT wird, benötigst du mehr Generatoren."
tasktitleThrusters,"Add Thrusters","Den Antrieb bauen"
acttitleAddVThrusters,"Add Thrusters","Triebwerk einbauen"
actdescAddVThrusters,"For a Hover Vessel, you only need one thruster facing forward, left, right and back. For a Small Vessel or a Capital Vessel you need a thruster facing up and one facing down in addition!\n\n[b]Important:[/b]\n- Do not mix up thrusters of different kinds on either side. Always have the same amount and type of thrusters competing with each other on each opposing side: Up vs. Down, Left vs. Right and Forward vs. Reverse. If you do not apply to this rule, your vessel may show unstable movement.\n- Adding more Thrusters will not make your vessel faster, but accelerate faster!\n- If you are parking your Small Vessel or Hover Vessel on a hillside or sloped terrain, switch off your thruster group to avoid your vessel sliding away!\n\n [b]Keep up speed without pressing W:[/b] If you want to avoid holding W all the time while flying towards a destination, open the Control Panel (P) and switch off the forward facing thrusters. Now, when hitting W, your vessel won't be slowed down any more. You need to reactivate your Brake Thruster Group if you want to slow down, of course!","Für einen Bodengleiter benötigst du nur jeweils ein Triebwerk für die Richtungen vorwärts, rückwärts, rechts und links. Für ein Kleines Raumschiff und ein Großes Raumschiff benötigst du zwei zusätzliche Triebwerke für die Richtungen auf und ab.\n\n[b]Wichtig[/b]\n- Mische niemals verschiedene Triebwerkstypen an verschiedene Seiten. Baue immer gleiche Typen and gegenüberliegenden Seiten: rechts vs. links, auf vs. ab und voraus vs. zurück. Wenn du diese Regel nicht beherzigst, kann dein Vehikel instabil werden.\n- Zusätzliche Triebwerke machen dein Vehikel nicht schneller. Es beschleunigt nur schneller bis zur Maximalgeschwindigkeit.\n- Wenn du dein Kleines Raumschiff oder deinen Bodengleiter am Hang parken willst, schalte das Vehikel mit Y ab, sonst kann es passieren, dass es weg rutscht.\n\n[b]Du willst immer geradeaus fliegen, ohne W die ganze Zeit gedrückt halten zu müssen? Wenn du einfach nur geradeaus fliegen willst, schalte  alle Triebwerke der Forward-Gruppe ab und beschleunige mit W auf die Maximalgeschwindigkeit. Wenn du bremsen willst, musst du deine Gruppe mit den Bremstriebwerken natürlich wieder einschalten."
tasktitleAddVOxSupply,"Oxygen Supply","Lebenserhaltung"
acttitleAddVOxTank,"Add an O2 Tank","O2 Tank einbauen"
actdescAddVOxTank,"All cockpits are airtight! So even if you fly around in an oxygen rich environment, you'll use up your suit O2 while sitting in a cockpit. This also applies to Capital Vessel cockpits!.\n\nAdd an O2 tank to your vessel and put some O2 bottles inside. You'll then first use up those, before your suit Oxygen is used.\n\n[u]Tips:[/u]\n- Open the console (P) to check how much Oxygen is left\n- You do not need to add an O2 station to your vessel for this to work. O2 stations are only required to refill your suit's O2 manually.","Alle Cockpits sind luftdicht versiegelt! Auch wenn du in einer sauerstoffreichen Umgebung herumfliegst, wird dein Anzugsauerstoff verbraucht, solange du im Cockpit sitzt. Das gilt auch für die Cockpits für Große Raumschiffe.\n\nUm das zu vermeiden, baue einen O2 Tank ein und fülle ihn mit O2 Flaschen. Damit wird dann immer zuerst der Sauerstoff aus dem O2 Tank benutzt, bevor dein Anzugsauerstoff angezapft wird.\n\n[u]Tipps:[/u]\n- Öffne die Steuerkonsole um herauszufinden, wie viel O2 dir verbleibt.\n- Für die automatische O2 Versorgung im Cockpit brauchst du keine O2 Station im Schiff. Diese dient  nur dazu, damit du manuell deinen Anzugsauerstoff wieder auftanken kannst."
tasktitleWeapons,"Weapons","Bewaffnung"
acttitleAddVWeapons,"Add a Weapon","Waffen einbauen"
actdescAddVWeapon,"Like with any base, you can add weapons and turrets to your vessel. Mounted guns are available for all vessels. Turrets are only available for Hover Vessels and Capital Vessels.","Wie auch bei einer Basis, kannst du bei Vehikeln Waffen einbauen. Feste Geschütze sind für alle Vehikel verfügbar.  Türme sind nur für Bodengleiter und Große Raumschiffe verfügbar."
acttitleAddVAmmoB,"Add an Ammo Box","Munitionskiste einbauen"
actdescAddVAmmoB,"You need to add an ammo box anywhere on your vessel and fill it with the correct ammo type, so your mounted weapons and turrets can be reloaded!\n\n[b]Engineering notes:[/b]\n- Turrets will reload and fire automatically. You can of course enter a turret and use it manually as well.\n- Mounted guns can be managed manually, but will reload automatically if you keep the fire button pressed!\n- If you aim at a target, your fixed guns will converge automatically!\n- Homing missiles only lock on their target if you were pointing at this target when firing!","Um deine Waffen zu versorgen, musst du eine Munitionskiste irgendwo in deinem Vehikel einbauen und sie mit der Munition füllen, die deine Geschütze benötigen. Sie laden sich dann automatisch nach.\n\n[b]Konstruktionshinweise:[/b]\n- Türme schießen automatisch und laden automatisch nach. Du kannst aber auch in einen Turm einsteigen und ihn selbst bedienen.\n- Feste Geschütze werden manuell abgefeuert und geladen, allerdings laden sie auch automatisch nach, wenn du die Feuertaste gedrückt hältst.\n- Wenn du das Fadenkreuz auf ein Ziel gerichtet hast, richten sich die festen Geschütze automatisch auf diesen Feuerpunkt ein.\n- Die zielsuchenden Raketen schalten ebenfalls nur auf, wenn du das Fadenkreuz beim Abfeuern auf ein Ziel gerichtet hattest!"
tasktitleDockingPads,"Docking Pads and Landing Gears","Andockplatte und Fahrwerk"
acttitleAddVDockingPads,"Add Docking Pads or Landing Gears","Landehilfe einbauen"
actdescAddVDockingPads,"Docking Pads as well as Landing Gears will not only allow you to dock your HV and SV to a CV, but also allow your vessel to land on uneven terrain or absorb damage of a hard landing on solid terrain. If yo do NOT use those devices, you'll easily damage and break your vessel.\n\n[b]How to use docking pads and landing gears:[/b]\n- If you built a CV and want to take your SV and HV with you, your SV and HV will need to have any type of Docking Pad or Landing Gear added underneath the vessel.\n- Docking works just by landing on a flat space on your CV. There is no docking button. Keep an eye on the right info panel. The docking status will tell you if your vessel is docked or not!\n- If you want to take off, just hit SPACE (default) and un-docking is happening automatically as well.\n- Docking is only possible for SV and HV. The CV landing gears do not 'dock' to a Base.\n- SV and HV can not be docked to each other.\n\n[b]Important:[/b]\n- Your CV and the to-be-docked vessel need to be in the same faction. If you did not change anything (like in any Single Player Game), every newly created vessel is set to PRIVATE automatically. If you play in Multiplayer and join a Faction, you can only dock a Faction-Vessel to its Faction-CV!\n- Exception: A CV that is set to PUBLIC can be used as a docking platform for vessels with any faction status!","Andockplatten und Fahrwerke erlauben es dir nicht nur, deinen Bodengleiter oder dein Kleines Raumschiff in einem Großen Raumschiff anzudocken. Sie absorbieren auch Schaden bei einer harten Landung auf festem Untergrund. Wenn du keine benutzt, kannst du dein Vehikel mit einer unsanften Landung schwer beschädigen!\n\n[b]So benutzt du Andockplatten und Fahrwerke:[/b]\n- Um ein BG oder KR in einem GR zu docken, benötig dein GB oder KR eines der beiden Geräte an der Unterseite\n- Das Docken selbst funktioniert ganz einfach: Drücke C und lande auf einer ebenen Fläche in oder auf dem Großen Raumschiff. Wirf einen Blick auf das Info-Fenster rechts am Bildschirmrand. Es zeigt dir, ob du angedockt bist oder nicht. Es gibt keine Docking-Taste!\n- Das Abheben vom Landedeck passiert auf gleiche Weise. Drücke dazu einfach die LEERTASTE.\n- Es können nur BG und KR an ein GR gedockt werden. Docken von BG an BG, BG and KR oder KR an KR ist nicht möglich.\n- Das Große Raumschiff und die anzudockenden Vehikel müssen in der gleichen Fraktion sein! Spielst du im Survival-Singleplayer, sind alle deine Schiffe immer in der gleichen Fraktion (sofern du daran nichts änderst).\n- Einzige Ausname für Multiplayer sowie Singleplayer: auf einem Großen Raumschiff, welches auf ÖFFENTLICH gestellt ist, können alle Bodengleiter und Kleinen Raumschiffe andocken, egal welcher Fraktion sie angehören!"
tasktitleAdditionalBlocks,"Additional Blocks","Zusätzliche Schiffseinrichtungen"
acttitleAdditionalVBlocks,"Place Additional Blocks","Nützliche Zusatzgeräte einbauen"
actdescAdditionalVBlocks,"You can of course add several other, useful blocks to your vessel.\n\n[u]Suggestions:[/u]\n- Add a cargo box to store loot and a fridge to store food.\n- If you plan to do a big round trip with a lot of expected dangerous exploration, you might need some spare parts to be produced while under way. Add a small constructor to your SV or HV or a large/advanced Constructor to your CV. This way you can fix broken devices without having to return to your base too early.\n- If you build a CV, you should add a Gravity Generator. If your ship is standing still, this will allow you to walk around in your vessel.\n- If you want to WARP to another planet, your CV needs to be equipped with a Warpdrive. Warpdrives are only available for a CV! You need to add the Warp Drive Tank and add Pentaxid Crystals as a fuel (Pentaxid is crafted from Blue Crystals, found on most of the Planets. On Kelt/Mato/Mercenary Camp, dive into the deeper lakes to find them!)","Es gibt viele weitere, nützliche Zusatzgeräte, die du einbauen kannst. \n\n[u]Empfehlung:[/u]\n- Statte dein Vehikel mit  mindestens einer Frachtbox für Beute und Teile sowie einem Kühlschrank für Nahrungsmittel aus.\n- Wenn du länger unterwegs bist, benötigst du irgendwann Ersatzteile die du unterwegs herstellen musst. Baue deshalb einen Kleinen Konstruktor (BG,KR) oder einen Großen Konstruktor (GR) ein. So kannst du Schäden beheben, ohne bis zu deiner Basis zurück fliegen zu müssen.\n- Wenn du ein GR baust, plane unbedingt einen Gravitationsgenerator ein. Er erlaubt dir, dass du in deinem Schiff herumlaufen kannst, solange es sich nicht bewegt.\n- Willst du mit deinem GR zu anderen Planeten aufbrechen, benötigst du einen Warpantrieb (nur für GR verfügbar) sowie einen Warpantrieb Tank, gefüllt mit Pentaxid Kristallen (Pentaxid wird aus den Blauen Kristallen gewonnen, die du z.B. in den Seen von Kelt/Mato/Mercenary Camp, im Sumpf von Neo, in den Ebenen von Kelt/Mato/Mercenary Camp oder auch auf höheren Lagen auf Ningues finden kannst!)"
completeEscapePodMissionIII,"Unknown Voice: Don't forget to improve your building skills all the time.\nThere will be always stronger ships than yours!",""
tasktitleCHK,"Useful common Hotkeys",""
acttitleF1,"Press F1 on your keyboard",""
actdescF1,"This is the PDA - your best friend in the game. It not only gives you very useful information but also important missions which are maybe required for the gameplay in Singleplayer and even Multiplayer.",""
acttitleF2,"Press F2 on your keyboard",""
actdescF2,"Your Blueprint Library stores all of your saved blueprints or subscribed ones from the workshop. You can double click on Bases or CVs to give them detailed information such as the blueprint groupname.",""
acttitleF3,"Press F3 on your keyboard",""
actdescF3,"The techtree is very important to progress in the game. You can unlock special devices or components you can then craft in your constructor.",""
acttitleF4,"Press F4 on your keyboard",""
actdescF4,"Your faction window is one of the most important things in Multiplayer. You can even create a faction if you are playing alone but also request alliances or see the other factions. Keep in mind that the abbreviation is case sensitive. For example faction AAA is a different faction than aaa. You can also only have one faction of the same type. So be quick if you want your preferred abbreviation.",""
acttitleF5,"Press F5 on your keyboard",""
actdescF5,"The player drone is your little friend helping not only with building in near distance but also retrieving your backpack in dangerous situations you don't wanna go yourself. You need a little space around you to spawn it and can't fly infinite far away from you but you can spawn it infinite times.",""
acttitleTAB,"Press TAB on your keyboard",""
actdescTAB,"The most important key you need to remember. Here you see your inventory, stats and more.",""
acttitleJ,"Press J on your keyboard",""
actdescJ,"This default key is responsible to activate / deactivate your Jetpack (see the icon at your bottom left). After activation you can press and hold spacebar to fly short distances. Tip: sometimes it is better to shutter press spacebar to keep the momentum rather than empty your jetpack all the way down to zero.",""
acttitleU,"Press U on your keyboard",""
actdescU,"With this key you can take your helmet on and off. Just make sure you are in air available room / space when takingthe helmet off. Otherwise you will die because of lack of oxygen.",""
acttitleC,"Press C on your keyboard",""
actdescC,"When swimming, flying with the ship or floating in orbit with your jetpack you can go 'down' with C.",""
acttitleL,"Press L on your keyboard",""
actdescL,"In dark areas it is recommended to activate your shoulder lights.",""
acttitleY,"Press Y on your keyboard",""
actdescY,"If you are standing or are very near of your structures you can press Y to activate the engines. The generators will be activated and support your structure with power.",""
acttitleN,"Press and hold N on your keyboard",""
actdescN,"This info panel is a very useful tool for building and surviving. It shows you structural integrity of your bases and allows you to mirror building for example.",""
acttitleBP,"Press Alt Gr + O on your keyboard",""
actdescBP,"If you want to save your structure you can use this default key combination to store your structure in form of a blueprint (F2). As soon as you have the proper resources for it you can respawn it.",""
chptitleKnowledgebase,"KNOWLEDGE BASE Q&A","WISSENSDATENBANK Q&A"
chpdescKnowledgebase,"The Knowledge base is separated into several main topics with questions and answers added as sub-topics.\n\nIf you do not find an answer to your question or think something should be added, please get in touch with feedback@empyriongame.com (subject: KNOWLEDGE BASE). Thanks for your help! :-)",""
tasktitleGGM,"Global Game Mechanics",""
taskheadGGM,"Global Game Mechanics",""
acttitleBasics,"Dying / Backpack / Swimming / Faction",""
actdescBasics,"[i]Q: I died and dropped a backpack – how does this work?[/i]\n- A backpack will drop with your inventory stuff included. A small flag will be shown on your Radar Map (top right).\n- Your backpack will vanish after 15 Minutes if you or someone else does not pick it up.\n-  Backpacks can be looted by anyone. They are not protected either in PvE nor PvP worlds.\n\n[i]Q: How do I swim?[/i]\nEmpty your hands to swim. If you hold a weapon or tool in your hands, you will sink to the ground.\n\n[i]Q: What is the 'faction' setting in the Control Panel all about?[/i]\nYou can set a faction and decide who can use your stuff: \n- Public = anyone can use/work on it with tools\n- Public = only Owner can use / work on it with tools\n- Faction = only Faction members can use /work on it with tools",""
acttitleTechtree,"Techtree",""
actdescTechtree,"[i]Q: What is the Techtree (F3)?[/i]\n- When you progress through the game (SP and MP) you gain XP for doing certain things. Each level up will add some Unlock points at your disposal. Use them to unlock more advanced stuff in the Techtree.\n- A lot of basic blocks and devices can be built without having to be unlocked. \n- If you think you are missing something in the template folder of your Constructor, have a look at the Techtree if it has been unlocked already!",""
acttitleOP,"Offline Protection",""
actdescOP,"[i]Q: How does the Offline Protection work?[/i]\n- If you have equipped a Capital Vessel or a BA with the Offline Protection Device, and your Base or Capital Vessel is either set to your faction, this will activate a shield when you leave the server. Your BA or Capital Vessel does NOT need to be powered and it does not use up fuel packs! \n- The OP has a timer that can be set by the Admin. Default setting is 48 real-time hours (2 days). \n- For factions with more than one member, the OP activates only if ALL faction members have left the server.",""
acttitleLook,"ALT Look Mode",""
actdescLook,"[i]Q: How to use the ALT-look Mode?[/i]\n- Hit V to switch to the 3rd Person view. Then hit ALT only ONCE and the camera view gets un-docked from your Player Avatar or Vessel. Use the mouse to move the camera view. Use the mouse wheel to zoom in and out\n- You can still walk/fly by using the Arrow-Keys and the WASD +Q/E commands\n- The ALT-look mode also works in 1st Person, for example when sitting in a Cockpit!",""
acttitlePvPvE,"PvP vs PvE",""
actdescPvPvE,"[i]Q: What is the difference between PvP and PvE planets/orbits?[/i]\nWhen you open the map (M) you can see a list of planets and orbits. Click on one of them and you'll notice a green PvE or red PvP. This is more relevant for Multiplayer, though. \n\n- [u]PvE:[/u] No other players can damage you or your vessel or base with weapons or tools. Only Alien drones and Alien creatures can do so. Vice-versa: you can destroy Alien bases with your weapons (but NOT with tools!) and any wildlife.\n\n[u]There is only one exception:[/u] As soon as you destroy the Core of an Alien POI and/or swap it with your own Base Core, the blocks of the structure are becoming immune to weapon fire. You need to work on this former Alien POI with the Remove & Repair tool.\n\n- [u]PvP:[/u] Anything goes. You or your structures are NOT protected in any way as long as you are online. Build an Offline Protection device to protect your PvP-Bases and Capital Vessels while you are offline.",""
tasktitleSI,"Structural Integrity (SI)",""
taskheadSI,"Structural Integrity (SI)",""
acttitleSIwork,"How does SI Work?",""
actdescSIwork,"Here are a few basic SI rules you need to take into account: \n\n1. Only blocks that are touching the ground will be 100% stable (does not depend on the material used) \n\n2. You can only achieve 100% stability for a vertical row of blocks, if the lowest block is touching the ground. If you have a 100% stable block, a so called 'anchor block', you can build a vertical pillar on top of it as high as the sky. There is no vertical limit (yet). \n\n3. If you add blocks to such a 100% stable pillar in any horizontal direction, so each block that is attached in a row, any additional block will have a lower stability - until the row reaches a breaking point. The maximum range or breaking point for a horizontal, floating, not supported beam made out of any of the four base materials is 12 blocks. Note: The anchor block will keep its stability, as there is no such thing as shear force (yet)! [u]Tip:[/u] if your line or area of blocks is showing weak spots, just build a supporting pillar! \n\n4. Do not put heavy materials or devices on top of a already weak beam or weak foundation. You might risk the construction to collapse and your devices will be destroyed.",""
acttitleBAcollaps,"My Base Collapsed",""
actdescBAcollaps,"[i]Q: My base has suddenly broken apart. What did i do wrong?[/i]\n- If you started a blueprint from Pre-Alpha, first start a creative game, switch off SI (Open Console with the Tilde key ` then enter 'SI off') and make a new blueprint. This will fix most of the problems – except a non-SI conform design.\n- Hold N and select the SI Overlay to visualize the structural integrity of your base while building. \n- Technical note: The SI is recalculated with every new block you are adding or removing - not in advance!",""
acttitleSIoff,"Deactivate SI",""
actdescSIoff,"[i]Q: Can i deactivate SI?[/i]\nYes, but only for Singleplayer. Open the Console (TAB by default) and type in 'SI off'.",""
tasktitleHuR,"Harvesting and Resources",""
taskheadHuR,"Harvesting and Resources",""
acttitlePickup,"Plants / Food Poisoning",""
actdescPickup,"[i]Q: Which plants are useful to pick up?[/i]\nMost of the plants serve a purpose! Check out Chapter I of the Tutorial to find out more about the basics and just pick up plants and check their stats to learn how to use them!\n\n[i]Q: I don't see any underwater flora?[/i]\nUnderwater Flora may depend on the setting of the biome and, for example, show up only in deeper lakes.\n\n[i]Q: Does food-poisoning happen with ALL food items?[/i]\nNo. Only raw food, like raw meat and collected food like corndogs has a chance of food poisoning. All cooked meals and self-grown crops are safe. Ahax, Kavae and Aloe Vera also do not have a food poisoning chance for both wild plants and self-grown",""
acttitlePentaxid,"Pentaxid / Blue Crystals",""
actdescPentaxid,"[i]Q: Where can I find the blue crystals that are needed for crafting the warp drive Pentaxid fuel?[/i]\nMostly in deep water, mountains or shady places. But there are also pentaxid deposits. So keep your eyes open along the way.",""
acttitleOre,"Ores",""
actdescOre,"[i]Q:  Where do I find the following ores?[/i]\n\nResources are everywhere and in general the rare ones (for example Zascosium) are better protected than the common ones (for example iron)\n\n[u]Note:[/u] Nearly all ores or Ingots can be retrieved from or looted from enemies or POIs containers on all planets\n- If a resource on a planet is depleted, a meteor will strike the planet an bring new resources of that type.",""
acttitleHarvester,"Harvester Module / Drill (HV)",""
actdescHarvester,"[i]Q: I was using the Harvester Module or Drills on my Hover Vessel, but could not find the wood logs/ore?[/i] \nYou need to add a Cargo Box(Harvest) to your vessel! Ore and wood logs will be stored there\n\n[i]Q: Does the Harvester Module deal any damage to anything other than trees?[/i]\nNo.",""
acttitleChainsaw,"Chainsaw",""
actdescChainsaw,"[i]Q: Can I use the chainsaw on my own base like the Multitool?[/i]\nNo.\n\n[i]Q: Does the chainsaw deal any damage to enemies or their bases?[/i]\nYes! If you attack an enemy base or POI, you can fight with the chainsaw in close combat.",""
tasktitleBuilding,"Building - Part I",""
taskheadBuilding,"Building - Part I",""
acttitleMatz,"Building Materials",""
actdescMatz,"[i]Q: Which building materials are available in the game?[/i]\nYou can choose from four different materials: \n- [u]Wood:[/u] easy to acquire in large numbers from all trees (use Chainsaw or Harvester Module), but very low HP and Armor.\n- [u]Concrete:[/u] a good and durable alternative to steel and very easy to craft in high numbers. You only need rock dust.\n- [u]Steel:[/u] not changed.\n- [u]Hardened Steel:[/u] the most durable material in the game, twice the hitpoints compared to steel – but also needs twice the time and resources to produce.",""
acttitleBlocks,"Block Shapes and Families",""
