KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish
hintEnterPrice,Please enter a price,Bitte gib einen Preis ein,Définissez le prix,Inserisci un prezzo,Rellena el precio,Insira um preço,Adicione um valor,Proszę podać cenę,"Пожалуйста, укажите цену",価格を入力してください,请输入一个价格,請輸入價格,가격을 입력하십시오.,Lütfen bir fiyat girin
hintEnterPrice>0,Price has to be > 0,Preis muss größer als 0 sein,Le prix doit être spérieur à 0,Il prezzo deve essere > 0,El precio tiene que ser > 0,Preço tem de ser > 0,Valor deve ser > 0,Cena musi być > 0,Цена должна быть > 0,価格は> 0でなければならない,价格必须大于0,價格必須 > 0,가격은 0보다 커야 합니다.,Fiyat 0'dan büyük olmalıdır
hintHaveOnlyNCredits,You only have {0} credits,Du hast nur {0} Credits,Vous possédez seulement {0} crédits,Hai solo {0} crediti,Solo tienes {0} créditos,Tem apenas {0} créditos,Você tem apenas {0} créditos,Posiadasz tylko {0} kredytów,У вас только {0} Cr,あなたは{0}のクレジットしか持っていません,你仅有{0}存款,你僅有{0}資金,{0} 크레딧만 있습니다.,Sadece {0} krediniz var
hintHaveOnlyNItems,You only have {0}x {1},Du hast nur {0}x {1},Vous possédez seulement {0}x {1},Hai solo {0}x {1},Solo tienes {0}x {1},Tem apenas {0}x {1},Você tem apenas {0}x {1},Posiadasz tylko {0}x {1},У вас есть только {0}x {1},あなたは{0} x {1},你仅有 {0}x {1},你僅有{0}x {1},{0}x {1}만 있습니다.,Sadece {0}x {1} var
hintHaveOnlyNToSell,You only have {0}x to sell,Du hast nur {0}x zum Verkaufen,Vous possedez seulement {0}x,Hai solo {0}x da vendere,Solo tienes {0}x para vender,Tem apenas {0}x para vender,Você tem apenas {0}x para vender,Posiadasz tylko {0}x na sprzedaż,У вас только {0}x на продажу,売るには{0}しかありません,你仅有 {0}x 以出售,你僅有{0}份可出售,판매할 {0}x만 있습니다.,Satılacak sadece {0}x var
hintMalformedAmount,Malformed amount,Anzahl fehlerhaft,Quantité non reconnue,Importo malformato,Cantidad mal formada,Montante inválido,Formato de quantidade incorreta,Wypaczona ilość,Неправильное количество,不正な金額,非法数量,畸形數量,잘못 형성된 금액,Hatalı miktar
hintMalformedPrice,Malformed price,Preis fehlerhaft,Prix non reconnu,Prezzo malformato,Precio mal formado,Preço inválido,Formato de valor incorreto,Wypaczona cena,Неправильная цена,不正な価格,非法价格,畸形價格,잘못 형성된 가격,Hatalı fiyat
hintMaxDurationIs,Maximum duration is {0},Die Maximaldauer beträgt {0},La durée maximale est de {0},La durata massima è {0},La duración máxima es {0},Duração máxima é de {0},A duração máxima é {0},Maksymalny czas trwania to {0},Максимальная длительность {0},最大継続時間は{0}です。,最大持续时间为 {0},最大持續時間為{0},최대 지속 시간은 {0}입니다.,Maksimum süre {0}
hintNameAlreadyPublished,Published item uses name,Veröffentlichtes Objekt verwendet Name,L'élément publié utilise le nom,L'elemento pubblicato utilizza il nome,Objetos publicados usan nombre,Objeto publicado utiliza nome,Itens publicados usam nomes,Opublikowany przedmiot używa nazwy,Опубликованный элемент использует имя,公開アイテムは名前を使用します,发布项目使用名称,已發佈物品使用名稱,게시된 아이템은 이름을 사용합니다.,Bu adı kullanan yayınlanmış bir eşya var
hintNotYetAllowedToBuyThisItem,You're not yet allowed to buy this item,Du darfst diesen Gegenstand noch nicht kaufen,Vous n'avez pas encore le droit d'acheter cet élément,Non sei ancora autorizzato ad acquistare questo articolo,No se te permite comprar este objeto,Ainda não está autorizado a comprar este objeto,Você não tem permissão pra comprar este item,Nie możesz jeszcze kupić tego przedmiotu,"Пока что, вам недоступна покупка этого предмета",あなたはまだこのアイテムを購入することはできません,你仍未被允许购买此物品,你尚無法購買此物品,이 아이템은 아직 구매할 수 없습니다.,Bu eşyayı satın almanıza henüz izin yok
hintPublishedByOtherPlayer,Scenario has been deleted or published by another player,Szenario gelöscht oder von anderem Spieler veröffentlicht,Scénario déjà publié par un autre joueur,Lo Scenario è stato pubblicato da un altro giocatore,El Escenario ha sido publicado por otro jugador,Cenário foi publicado por outro jogador,Cenário publicado por outro player,Scenariusz został usunięty lub opublikowany przez innego gracza,Сценарий был опубликован другим игроком,シナリオは別のプレイヤーによって公開されています,剧本已被其他玩家发布,劇本已被另一位玩家發佈,다른 플레이어가 시나리오를 삭제하거나 게시했습니다.,Senaryo silindi veya başka bir oyuncu tarafından yayınlandı
hintSelectItem,Please select an item,Bitte wähle einen Gegenstand aus,Choisissez un élément,Selezionare un elemento,Selecciona un objeto,Selecione um objeto,Selecione um item,Proszę wybrać przedmiot,"Пожалуйста, выберите предмет",アイテムを選択してください,请选择一件物品,請選擇物品,아이템을 선택하십시오.,Lütfen bir eşya seçin
hintSelectItemInList,Please select an item in the list,Bitte wähle einen Gegenstand in der Liste aus,Choisissez un élément sur la liste,Selezionare un elemento nella lista,Selecciona un objeto de la lista,Selecione um objeto da lista,Selecione um item da lista,Proszę wybrać przedmiot z listy,"Пожалуйста, выберите предмет в списке",リスト内のアイテムを選択してください,请在列表中选择一件物品,請選擇清單內物品,목록에서 아이템을 선택하십시오.,Lütfen listeden bir eşya seçin
hintSellGoodsAtTS,Sell goods at the correct Trading Station,Verkaufe Waren an richtiger Handelsstation,Vendre les marchandises à la station de commerce appropriée,Per vendere la merce devi recarti presso la stazione commerciale corretta,Vende los vienes a la Estación de Comercio correcta,Venda bens no Posto de Comércio correto,Venda seus itens na estação de negociação correta,Sprzedaj towary w prawidłowej Stacji Handlowej,Продавайте товары на правильной торговой станции,正しいトレーディングステーションで商品を売る,在正确的交易站出售货物,在正確貿易站出售貨物,올바른 거래소에서 상품 판매,Doğru Ticaret İstasyonunda malzeme satın
hintSetupColliderDims1D,Enlarge: LeftCtrl + NumPad 5\nShrink: LeftCtrl + LeftAlt + NumPad 5,Vergößern: LinksStrg + NumBlock 5\nVerkleinern: LinksStrg + LinksAlt + NumBlock 5,Agrandir: CtrlGauche + pavé numérique 5 \nRétrécir: Ctrlgauche + AltGauche + pavé numérique 5,Aumenta: LeftCtrl + NumPad 5\nRiduci: LeftCtrl + LeftAlt + NumPad 5,Agrandar: IzqCtrl + Num5\nenpequeñecer: IzqtCtrl + IzqAlt + Num5,Aumentar: CtrlEsquerdo + NumPad 5\nShrink: CtrlEsquerdo + AltEsquerdo + NumPad 5,Aumentar: CtrlEsquerdo + NumPad 5\nReduzir: CtrlEsquerdo + AltEsquerdo + NumPad 5,Powiększ: Lewy Ctrl + NumPad5\nPomniejsz: Lewy Ctrl + Lewy Alt + NumPad5,Увеличить: LeftCtrl + NumPad 5\nУменьшить: LeftCtrl + LeftAlt + NumPad 5,拡大:LeftCtrl + NumPad 5 \n縮小:LeftCtrl + LeftAlt + NumPad 5,放大：左Ctrl + 小键盘 5\n缩小：左Ctrl + 左Alt + 小键盘 5,放大：左Ctrl + NumPad 5\n縮小：左Ctrl + 左Alt + NumPad 5,확대: LeftCtrl + NumPad 5\n축소: LeftCtrl + LeftAlt + NumPad 5,Genişlet: SolCtrl + NumPad 5\nDaralt: SolCtrl + SolAlt + NumPad 5
hintSetupColliderDims3D,Enlarge: LeftCtrl + NumPad\nShrink: LeftCtrl + LeftAlt + NumPad,Vergößern: LinksStrg + NumBlock\nVerkleinern: LinksStrg + LinksAlt + NumBlock,Agrandir: Ctrlgauche + pavé numérique \nRétrécir: CtrlGauche + AltGauche + pavé numérique,Aumenta: LeftCtrl + NumPad\nRiduci: LeftCtrl + LeftAlt + NumPad,Agrandar: IzqCtrl + Num\nenpequeñecer: IzqCtrl + IzqAlt + NumPad,Aumentar: CtrlEsquerdo + NumPad\nShrink: CtrlEsquerdo + AltEsquerdo + NumPad,Aumentar: CtrlEsquerdo + NumPad\nReduzir: CtrlEsquerdo + AltEsquerdo + NumPad,Powiększ: Lewy Ctrl + NumPad\nPomniejsz: Lewy Ctrl + Lewy Alt + NumPad,Увеличить: LeftCtrl + NumPad\nУменьшить: LeftCtrl + LeftAlt + NumPad,拡大:LeftCtrl + NumPad \n縮小:LeftCtrl + LeftAlt + NumPad,放大：左Ctrl + 小键盘\n缩小：左Ctrl + 左Alt + 小键盘,放大：左Ctrl + NumPad\n縮小：左Ctrl + 左Alt + NumPad,확대: LeftCtrl + NumPad\n축소: LeftCtrl + LeftAlt + NumPad,Genişlet: SolCtrl + NumPad\nDaralt: SolCtrl + SolAlt + NumPad
hintTotalDataTooLarge,Scenario is too large (limit is {0} MB),Szenario ist zu groß (Limit: {0} MB),Taille Scénario trop grande (limite est de {0} MB),Lo scenario è troppo grande (il limite è {0} MB),El escenario es demasiado grande (el límite es {0} MB),Cenário é demasiado grande (limite é {0} MB),Cenário muito grande (o limite é {0} MB),Scenariusz jest zbyt duży (limit to {0} MB),Сценарий слишком велик (лимит {0} MB),シナリオ・サイズが大きすぎます(制限は{0} MBです),剧本太大（限制{0}MB）,劇本過大（上限為{0} MB）,시나리오가 너무 깁니다(한도는 {0}MB입니다).,Senaryo çok büyük (sınır {0} MB'dır)
hintTSOnlyShowsTSOffers,[Only offers of this Trading Station are shown],[Nur Angebote dieser Station werden angezeigt],[Seules les offres disponibles ici sont affichées],[Sono visualizzate solo le offerte di questa Stazione Commerciale],[Solo se muestran las ofertas de esta Estación de Comercio],[Apenas são apresentadas ofertas deste Posto de Comércio],Apenas ofertas dessas Estação de Negociação são exibidas,[Wyświetlane są oferty tylko z tej Stacji Handlowej],[Показаны предложения только этой торговой станции],[このトレーディングステーションのオファーのみ表示されます],[只显示此交易站订单],[僅顯示此貿易站的交易],[이 거래소의 오퍼만 표시됨],[Sadece bu Ticaret İstasyonundaki teklifler gösteriliyor]
hintUpdatingScenarioData,Currently uploading scenario data...,Datenübertragung...,Téléchargement des données du scénario en cours...,Eseguendo l'upload dei dati dello scenario...,Subiendo datos de escenario...,A carregar dados do cenário...,Atualmente carregando dados do cenário ...,Przesyłanie danych scenariusza...,В настоящее время идет загрузка данных сценария ...,現在シナリオデータをアップロード中...,正在上传剧本数据…,正在上傳劇本資料…,현재 시나리오 데이터 업로드 중...,Senaryo verileri şu anda yükleniyor...
hssHoverHeight,Hover Height:,Schwebeabstand:,Hauteur de vol Hover:,Altezza Hovercraft:,Altura de levitación:,Altura a flutuar:,Alt. do Hover:,Wysokość unoszenia:,Высота парения:,ホバー高:,悬浮高度：,懸浮高度：,호버 높이:,Hava Aracı Boyu:
hudOreWithAmount,{0}\n({1}% ores left of ca. {2}),{0}\n({1}% Rohstoffe übrig von ca. {2}),{0}\n({1}% de minerai restant sur {2}),{0}\n({1}% minerali rimasti su {2}),{0}\n({1}% minerales restandes de {2}),{0}\n({1}% minérios restantes de {2}),{0}\n({1}% minérios restantes de {2}),{0}\n({1}% surowca z ok. {2}),{0}\n({1}% руды из {2}),{0}\n({2}、残量 {1}%),{0}\n({1}% 矿物剩余在 {2}),{0}\n{2})剩餘({1}% 礦石,{0}\n({2} 왼쪽에 있는 {1}% 광석),{0}\n(%{1} cevher kaldı [toplam {2}])
hudToTarget,to {0},zu {0},vers {0},a {0},a {0},para {0},para {0},do {0},до {0},{0}へ,到 {0},至{0},,Git: {0}
igmBlockAccess,Press '{{0}}' to access {0},Drücke '{{0}}' um auf {0} zuzugreifen,Appuyez sur '{{0}}' pour accéder à {0},Premi '{{0}}' per accedere a: {0},Pulsa '{{0}}' para acceder a {0},Prima '{{0}}' para ceder {0},Pressione '{{0}}' para acessar {0},Naciśnij '{{0}}' aby uzyskać dostęp do {0},Нажмите '{{0}}' чтобы получить доступ к {0},{{0}}' を押して {0} を拾います。,按 '{{0}}'键以访问 {0},按'{{0}}'存取{0},{0}에 접근하려면 '{{0}}'을(를) 누르십시오.,{0} erişimi için '{{0}}' tuşuna basın
igmBlockCountExceeded,Cannot place {0} as only {1} allowed! Currently placed: {2},Kann {0} nicht setzen da nur {1} erlaubt sind! Aktuell platziert: {2},Impossible de placer {0} car uniquement {1} est/sont permis! Déjà placé(s) {2},Impossibile posizionare {0} dato che solo {1} è consentito! Attualmente posizionato: {2},No se puede colocar {0} solo está permitido {1}! Colocado ahora: {2},Não é possível colocar {0} quando apenas {1} é permitido! Atualmente colocado: {2},Impossível colocar {0} pois somente {1} blocos é permitido! Atualmente possui {2}.,Nie można umieścić {0}. Dozwolone są tylko {1}! Obecnie umieszczonych jest: {2},Невозможно установить {0}! Доступно лишь {1}! Сейчас установлено: {2},{0}は{1}しか置くことができません！ 現在配置されている:{2},不能放置{0}，只允许{1}个！ 目前放置数量：{2},無法放置{0}，僅限{1}可用！目前已放置：{2},{1}만 허용되므로 {0}을(를) 놓을 수 없습니다! 현재 배치된 아이템: {2},{0} yerleştirilemez çünkü sadece {1} izinli! Şu anda yerleştirilmiş:{2}
igmBlockPickup,Press '{{0}}' to pick up {0},Drücke '{{0}}' um {0} aufzuheben,Appuyez sur '{{0}}' pour ramasser {0},Premi '{{0}}' per raccogliere {0},Pulsa '{{0}}' para recoger {0},Prima '{{0}}' para apanhar {0},Pressione '{{0}}' para pegar {0},Naciśnij '{{0}}' aby podnieść {0},Нажмите '{{0}}' чтобы взять {0},{{0}}' を押して{0}をピックアップしてください,按 '{{0}}'键以拾取 {0},按'{{0}}'拾取{0},{0}을(를) 선택하려면 {0}을(를) 누르십시오.,{0} toplamak için '{{0}}' tuşuna basın
igmBlockTooFarFromCenter,Too far away from the center of the structure,Zu weit vom Zentrum der Struktur entfernt,Trop distant du centre de la structure,Troppo lontano dal centro della struttura,Demasiado lejos del centro de la estructura,Demasiado longe do centro da estrutura,Longe demais do centro da estrutura,Zbyt daleko od środka struktury,Слишком далеко от центра структуры,構造の中心から遠すぎる,离建筑物中心太远了,距離建築中心過遠,구조물 중심에서 너무 멀리 떨어져 있습니다.,Yapının merkezinden çok uzakta
igmBlockWrongFaction,Cannot access {0}: other faction!,Kann {0} nicht zugreifen: andere Fraktion!,Accès impossible {0}: autre faction!,Impossibile accedere a {0}: di un'altra fazione!,No se puede acceder {0}: otra facción,Não é possível aceder {0}: outra fação!,Não é possível acessar {0}: outra facção!,Nie można uzyskać dostępu do {0}: inny sojusz!,Нет доступа {0}: другая фракция!,{0}にはアクセスできない:他のファクション！,拒绝访问 {0}：派系不同,無法存取{0}：其他陣營！,{0}에 접근할 수 없습니다: 다른 진영을 시도해 보십시오!,{0} erişimi yapılamıyor: başka grup!
igmBpSaveError,Could not save Blueprint!,Konnte Bauplan nicht speichern!,Impossible d'enregistrer le Blueprint !,Impossibile salvare il Progetto!,No se puede guardar el Plano,Não foi possível salvar Projeto!,Não foi possível salvar o Blueprint!,Nie można zapisać projektu!,Не удалось сохранить чертеж!,設計図をセーブできませんでした！,无法保存蓝图！,無法儲存設計圖！,설계도를 저장할 수 없습니다!,Şablon kaydedilemedi!
igmBrokenLeg,You have broken your leg. Use a medikit.,Du hast dir ein Bein gebrochen. Benutze ein Medikit.,Vous avez une jambe fracturée. Utilisez un médikit.,Ti sei rotto la gamba. Usa un Kit Medico.,Te has roto una pierna Usa un Kit médico,Partiu a perna. Utilize um medikit.,Você quebrou sua perna. Use um kit médico.,Złamałeś nogę. Użyj apteczki.,Вы сломали ногу. Используйте аптечку.,足を負傷しました。 メディカルキットを使用してください。,你腿摔断了。使用小医疗瓶。,你的腿斷了。快使用醫療包。,다리가 부러졌습니다. 메디킷을 사용하십시오.,Bacağınızı kırdınız. Medikit kullanın.
igmCanEnterAsPassenger,You can enter a planet only as a passenger!,Du kannst den Planeten nur als Passagier betreten!,Vous pouvez descendre sur une planète seulement en tant que passager !,È possibile entrare in un pianeta solo come passeggero!,Solo puedes entrar en el planeta como pasajero,Pode entrar num planeta apenas como passageiro!,Você pode entrar em um planeta apenas como passageiro!,Możesz dostać się na planetę tylko jako pasażer!,Вы можете войти в атмосферу планеты только в качестве пассажира!,惑星に侵入するには、乗客席についている必要があります！,你只能坐在驾驶室或乘客位上进入一个星球！,你無法僅作為乘客進入星球！,행성은 승객 자격으로만 진입할 수 있습니다!,Bir gezegene sadece yolcu olarak girebilirsiniz!
igmCannotChangeStructure,You cannot change this structure with the Multitool,Du kannst diese Struktur mit dem Multitool nicht ändern,Vous ne pouvez pas modifier cette structure avec l'outil Multifonction,Non è possibile effettuare modifiche a questa struttura con lo Strumento Multifunzione,No puedes cambiar esta estructura con la Multiherramienta,Não pode mudar esta estrutura com a Multiferramenta,Você não pode alterar essa estrutura com a Multi Ferramenta,Nie możesz zmienić tej struktury przy użyciu Multinarzędzia,Вы не можете изменить эту постройку при помощи Мульти-инструмента,マルチ・ツールでこの構造を変更することはできません,你不能使用多功能建造枪改变这个建筑,你無法使用多用途工具更改此建築,이 구조물은 멀티툴을 사용하여 변경할 수 없습니다.,Bu yapıyı Çok Amaçlı Alet ile değiştiremezsiniz
igmCannotDigHere,You cannot dig here,Du kannst hier nicht graben,Vous ne pouvez pas creuser ici,Non puoi scavare qua,No puedes cavar aquí,Não pode escavar aqui,Você não pode cavar aqui,Nie możesz tutaj wiercić,Вы не можете здесь копать,あなたはここに掘ることができません,你不能在此处挖掘,你無法在此挖掘,여기에서 발굴할 수 없습니다.,Burada kazı yapamazsınız
igmCannotEnterTooNearToPlanet,"Cannot enter, too near to a planet!","Kann nicht einsteigen, zu nah an einem Planeten","Impossible d'entrer, trop proche d'une planète.","Impossibile entrare, troppo vicino a un pianeta!","No puedes entrar, demasiado cerca del planeta",Não pode entrar. Demasiado perto de um planeta!,Impossível entrar tão próximo a um planeta!,"Nie można wejść, zbyt blisko planety!","Невозможно войти, слишком близко к планете!",惑星に近づきすぎることはできません！,不能进入，离星球太近！,無法進入，距離星球過近！,행성과 너무 가까우므로 진입할 수 없습니다!,"İçeri girilemiyor, bir gezegene çok yakın!"
igmCannotPlaceAtRegenerateable,Cannot place a block in a regenerateable Base,Kann einen Block nicht in eine regenerierbare Basis setzen,Vous ne pouvez pas utiliser de bloc sur une base regénérée,Impossibile posizionare blocchi in una Base Rigenerabile,No puedes poner un bloque en una Base regenerable,Não é possível colocar um bloco numa Base regenerável,Não é possível colocar um bloco em uma Base regenerável,Nie można umieścić bloku w odnawialnej bazie,Нельзя разместить блок пока база регенирирует,再生可能なベースにブロックを配置することはできません,不能在可刷新建筑里放置方块,無法在可再生基地放置方塊,재생성 가능한 기지에 블록을 놓을 수 없습니다.,Yeniden üretilebilir bir Üsse blok yerleştirilemez
igmCannotPlaceBlockOn,You cannot place this block on {0}. Please check the block attributes for further info.,Du kannst den block nicht auf {0} setzen. Bitte schau in die Blockattribute für weiter Infos.,Le bloc ne peut pas être placé sur {0}. Vérifiez les attributs du bloc pour plus d'information.,Non puoi posizionare questo blocco su {0}. Controlla le proprietà del blocco per ulteriori informazioni.,No puedes poner este bloque en {0}. Revisa los atributos del bloque para más información.,Não pode colocar este bloco em {0}. Verifique os atributos do bloco para mais informações.,Você não pode por este bloco em {0}. Verifique os atributos do bloco para mais informações.,"Nie możesz umieścić tego bloku na {0}. Aby uzyskać więcej informacji, proszę o sprawdzenie atrybutów bloku.","Вы не можете поместить блок на {0}. Пожалуйста, посмотрите атрибуты блока для дополнительной информации.",あなたはこのブロックを{0}に配置することはできません。ブロックの属性を確認してください。,你不能在 {0}上放置此方块。请查阅方块属性获得更多信息。,無法放置此方塊於{0}。請檢查方塊屬性獲取詳細資訊。,이 블록은 {0}에 둘 수 없습니다. 자세한 정보는 블록 속성을 확인하십시오.,Bu bloku {0} üzerine yerleştiremezsiniz. Lütfen daha fazla bilgi için blok özelliklerini kontrol edin.
igmCannotPlaceGeneral,Cannot place it here,Kann es hier nicht platzieren,Vous ne pouvez pas construire ici,Impossibile posizionare qua,No lo puedes poner aquí,Não o pode colocar aqui,Não pode ser colocado aqui,Nie można tego tutaj umieścić,Невозможно поместить здесь,ここに置くことはできません,不能在此放置该物品,無法在此放置,여기에 놓을 수 없습니다.,Onu buraya yerleştiremezsiniz
igmCannotPlaceInSpace,You can not place this in space,Das kannst du nicht im All platzieren,Ne peut pas être placé dans l'espace,Impossibile posizionare nello spazio,No lo puede poner en este espacio,Não pode colocar isto no espaço,Você não pode colocar isso no espaço,Nie możesz tego umieścić w kosmosie,Вы не можете разместить это в открытом космосе,この場所に設置することはできません,不能在太空放置此物品,無法放置於太空中,이것은 우주에 놓을 수 없습니다.,Bunu uzayda yerleştiremezsiniz
igmCannotPlaceOnPlanet,You can not place this on a planet,Das kannst du nicht auf einem Planeten platzieren,Ne peut pas être placé sur une planète,Impossibile posizionare su un pianeta,No lo puede poner en este planeta,Não pode colocar isto num planeta,Você não pode colocar isso em um planeta,Nie możesz tego umieścić na planecie,Вы не можете разместить это на планете,あなたは惑星上でこれを配置することはできません,不能在星球上放置此物品,無法放置於星球上,이것은 행성에 놓을 수 없습니다.,Bunu bir gezegende yerleştiremezsiniz
igmChapterAutoActivated,In your PDA chapter '{0}' was activated. Open PDA with F1,In deinem PDA wurde Kapitel '{0}' aktiviert. Öffne PDA mit F1,Le chapitre '{0}' du PDA a été activé automatiquement. Ouvrez votre PDA avec F1,Nel tuo PDA è stato attivato il capitolo '{0}'. Apri il PDA con F1,En tu sección PDA '{0}' ha sido activado Abre PDA con F1,"No seu capítulo PDA, '{0}' foi ativado. Abra PDA com F1","No seu PDA, o capítulo '{0}' foi ativado automaticamente. Abra seu PDA com F1",W Twoim PDA rozdział '{0}' został aktywowany. Aby otworzyć PDA wciśnij F1,В вашем КПК автоматически стал активным раздел '{0}'. Откройте ваш КПК при помощи F1,あなたのPDAのチャプター '{0}'がﾞアクティブになりました。 F1であなたのPDAを開きます。,你的PDA章节'{0}'已激活。按F1打开PDA,PDA中的'{0}'章節已啟動。按F1鍵開啟PDA,PDA 장에서 '{0}'이(가) 활성화되었습니다. F1을 사용하여 PDA 열기,PDA'nızda bölüm '{0}' aktifleştirildi. F1 ile PDA'yı açın
igmChapterCompleted,Congratulations! You completed PDA chapter '{0}',Glückwunsch! Du hast PDA Kapitel '{0}' erledigt,Félicitations ! Vous avez réussi le chapitre '{0}' du PDA,Complimenti! Hai completato il capitolo '{0}' del PDA,¡Enhorabuena! Has completado la sección PDA '{0}',Parabéns! Concluiu o capítulo PDA '{0}',Parabéns! Você completou o capítulo do PDA '{0}',Gratulację! Zakończyłeś w swoim PDA rozdział '{0}',Поздравляем! Вы завершили раздел '{0}' из вашего КПК,おめでとう！あなたは、PDAの占拠を完了しました '{0}',祝贺你！你完成了PDA章节 '{0}',恭喜！你完成了PDA第'{0}'章,축하합니다! PDA 장 '{0}'을(를) 완료하셨습니다.,Tebrikler! PDA'daki bölüm '{0}' tamamlandı
igmCloseDoor,Press '{{0}}' to close {0},Drücke '{{0}}' um {0} zu schliessen,Appuyez sur '{{0}}' pour fermer {0},Premi '{{0}}' per chiudere {0},Pulsa '{{0}}' para cerrar {0},Prima '{{0}}' para fechar {0},Pressione '{{0}}' para fechar {0},Naciśnij '{{0}}' aby zamknąć {0},Нажмите '{{0}}' чтобы закрыть {0},{{0}}' を押して{0}を閉じる,按 '{{0}}'键关闭 {0},按'{{0}}'關閉{0},{0}을(를) 닫으려면 '{{0}}'을(를) 누르십시오.,{0} kapatmak için '{{0}}' tuşuna basın
igmConnectToBase,"To build here, point at a Base, press '{0}' and activate 'Connect to'","Um hier zu bauen, zeige auf eine Basis, drücke '{0}' und aktiviere 'Mit Basis verbinden'","Pour construire ici, pointez votre base, appuyez sur '{0}' et activez (Se connecter à)","Per costruire qui, puntare su una Base, premi '{0}' e attivare 'Connetti a'","Para construir aquí, pulsa '{0}' y activa 'Conectar a'","Para construir aqui, aponte a uma Base, prima '{0}' e ative 'Ligar a'",Para construir aqui mire na sua base e aperte '{0}' para ativar o 'Conectar a Base',"Aby tutaj budować, wskaż bazę, naciśnij '{0}' i aktywuj 'Połącz się z'","Чтобы построить тут, наведите на базу, нажмите '{0}' и выберете 'Присоеденить к'",ここにビルドするには、ベースを設置して、 '{0}'を押して '接続'をアクティブにします。,如果在此建造，指向一个基地，按 '{0}'键并激活 '连接到',要在此建造，首先指向基地，按'{0}'然後啟動‘連線至’,여기에 건축하려면 기지를 가리키고 '{0}'을(를) 누른 후 '연결 대상'을 활성화하십시오.,"Burada inşaat yapmak için, bir Üssü işaretleyin, '{0}' tuşuna basın ve 'Bağlan' seçeneğini aktifleştirin"
igmContainerAccess,Press '{{0}}' to access {0},Drücke '{{0}}' um {0} zu öffnen,Appuyez sur '{{0}}' pour accéder à {0},Premi '{{0}}' per accedere a: {0},Pulsa '{{0}}' para acceder a {0},Prima '{{0}}' para aceder a {0},Pressione '{{0}}' para acessar {0},Naciśnij '{{0}}' aby uzyskać dostęp do {0},Нажмите '{{0}}' для доступа к {0},{{0}}' を押して{0} にアクセスします。,按 '{{0}}'键以访问 {0},按'{{0}}'存取{0},{0}에 접근하려면 '{{0}}'을(를) 누르십시오.,{0} erişimi için '{{0}}' tuşuna basın
igmCoreAccess,Press '{0}' to open Control Panel,Drücke '{0}' um das Steuergerät zu benutzen,Appuyez sur '{0}' pour ouvrir le panneau de contrôle,Premi '{0}' per aprire il Pannello di Controllo,Pulsa '{0}' para abrir el Panel de Control,Prima '{0}' para abrir o Painel de controlo,Pressione '{0}' para abrir o Painel de Controle,Naciśnij '{0}' aby otworzyć Panel Sterowania,"Нажмите '{0}', чтобы открыть Панель управления",{0}' を押してコントロールパネルを開きます,按 '{0}'键以打开控制面板,按'{0}'開啟控制台,제어판을 열려면 '{0}'을(를) 누르십시오.,Kontrol Panelini açmak için '{0}' tuşuna basın
igmCoreInfo,Core: {0} Faction,Kern: {0}-Fraktion,Noyau: {0} faction,Nucleo: Fazione {0},Núcleo: {0} Facción,Núcleo: {0} Fação,Núcleo: Facção {0},Rdzeń: {0} sojusz,Ядро: {0} Фракция,コア:{0}ファクション,核心：{0}派系,核心：{0}陣營,코어: {0} 진영,Çekirdek: {0} Grup
igmCreatedNew,Created new {0} ({1}),Neue {0} ({1}) kreiert,Nouveau {0} ({1}) créé,Hai Creato: {0} ({1}),Creada nueva {0} ({1}),Criado novo {0} ({1}),Criou um novo {0} ({1}),Stworzono nowy {0} ({1}),Создано новое {0} ({1}).,作成した新しい{0}({1}),创建新的 {0} ({1}),建立新{0} ({1}),새 {0} 생성됨({1}),Yeni {0} ({1}) yaratıldı
igmCurrentlyOccupied,Currently occupied!,Im Augenblick belegt!,Occupé !,Attualmente Occupato!,Ocupada en este momento,Atualmente ocupado!,Atualmente ocupado!,Obecnie zajęte!,В текущий момент занято!,現在占有されています！,当前被占用！,目前被佔用！,지금은 입주되었습니다!,Şu anda sahipli!
igmCurrentlyOccupiedBy,Currently occupied by {0}!,Im Augenblick von {0} belegt!,Occupé par {0},Attualmente Occupato da {0}!,Ocupada en este momento por {0},Atualmente ocupado por {0}!,Atualmente ocupado por {0}!,Obecnie zajęte przez {0}!,Занято игроком {0}!,現在、{0} によって占有されています！,当前被{0}占用！,目前被{0}佔用！,지금은 {0}이(가) 입주했습니다!,Şu anda sahibi {0}!
